instruction,input,output
Evaluate business model,We are another food delivery app,"Crowded category. Need clear differentiation, defensibility, or niche advantage."
Review startup pitch,We have no CAC or LTV numbers,Missing unit economics weakens confidence in scalable growth.
Evaluate investor readiness,We have 100 users after 2 years,"Growth appears slow. Explain retention, niche strategy, or learning progress."
Check market attractiveness,No competitors exist,"Usually unrealistic. Show direct, indirect, or substitute competitors honestly."
Assess startup moat,We have 100 users after 2 years,"Growth appears slow. Explain retention, niche strategy, or learning progress."
Evaluate investor readiness,We only need funding for marketing,"Use of funds should include growth, product, hiring, and milestones."
Assess startup valuation,Our founders have no domain experience,"Need stronger founder-market fit, advisors, or evidence of execution capability."
Explain investor concern,We have 100 users after 2 years,"Growth appears slow. Explain retention, niche strategy, or learning progress."
Assess startup valuation,Large market opportunity,"Too vague. Add TAM, SAM, SOM estimates with assumptions and sources."
Critique startup fundraising plan,We have no clear revenue model,Lack of monetization clarity increases investor hesitation and execution risk.
Assess startup valuation,We are raising at $20M valuation pre-revenue,"Valuation appears aggressive without revenue, traction, or clear growth signals."
Assess startup moat,We will grow through social media only,Go-to-market strategy is shallow. Need repeatable acquisition channels.
Evaluate investor readiness,Our founders have no domain experience,"Need stronger founder-market fit, advisors, or evidence of execution capability."
Analyze fundraising strategy,We will grow through social media only,Go-to-market strategy is shallow. Need repeatable acquisition channels.
Assess startup moat,We rely on one enterprise customer,Customer concentration risk is high. Revenue diversification needed.
Analyze fundraising strategy,Large market opportunity,"Too vague. Add TAM, SAM, SOM estimates with assumptions and sources."
Analyze fundraising strategy,We will grow through social media only,Go-to-market strategy is shallow. Need repeatable acquisition channels.
Review startup pitch,Large market opportunity,"Too vague. Add TAM, SAM, SOM estimates with assumptions and sources."
Critique startup fundraising plan,We have 100 users after 2 years,"Growth appears slow. Explain retention, niche strategy, or learning progress."
Evaluate investor readiness,We rely on one enterprise customer,Customer concentration risk is high. Revenue diversification needed.
Analyze fundraising strategy,We have no CAC or LTV numbers,Missing unit economics weakens confidence in scalable growth.
Review startup pitch,Large market opportunity,"Too vague. Add TAM, SAM, SOM estimates with assumptions and sources."
Check market attractiveness,We have no CAC or LTV numbers,Missing unit economics weakens confidence in scalable growth.
Critique startup fundraising plan,We will grow through social media only,Go-to-market strategy is shallow. Need repeatable acquisition channels.
Assess startup valuation,We are another food delivery app,"Crowded category. Need clear differentiation, defensibility, or niche advantage."
Evaluate investor readiness,We rely on one enterprise customer,Customer concentration risk is high. Revenue diversification needed.
Review startup pitch,We will grow through social media only,Go-to-market strategy is shallow. Need repeatable acquisition channels.
Evaluate business model,We have no CAC or LTV numbers,Missing unit economics weakens confidence in scalable growth.
Check market attractiveness,We have 100 users after 2 years,"Growth appears slow. Explain retention, niche strategy, or learning progress."
Assess startup moat,We are another food delivery app,"Crowded category. Need clear differentiation, defensibility, or niche advantage."
Evaluate business model,We only need funding for marketing,"Use of funds should include growth, product, hiring, and milestones."
Check market attractiveness,Need $5M seed round with no traction,Capital ask seems high relative to stage. Justify with milestones and roadmap.
Check market attractiveness,We have MVP but no paying customers,"May suit angel funding, but many VCs will seek stronger validation first."
Review startup pitch,We will grow through social media only,Go-to-market strategy is shallow. Need repeatable acquisition channels.
Evaluate business model,We burn $200k monthly with no growth,High burn without traction is a major investor red flag.
Explain investor concern,We will grow through social media only,Go-to-market strategy is shallow. Need repeatable acquisition channels.
Assess startup valuation,We have no CAC or LTV numbers,Missing unit economics weakens confidence in scalable growth.
Explain investor concern,Our founders have no domain experience,"Need stronger founder-market fit, advisors, or evidence of execution capability."
Check market attractiveness,We have no CAC or LTV numbers,Missing unit economics weakens confidence in scalable growth.
Assess startup valuation,We will grow through social media only,Go-to-market strategy is shallow. Need repeatable acquisition channels.
Evaluate business model,No competitors exist,"Usually unrealistic. Show direct, indirect, or substitute competitors honestly."
Explain investor concern,We target all businesses globally,ICP is too broad. Investors prefer focused customer segments with clear pain points.
Explain investor concern,Large market opportunity,"Too vague. Add TAM, SAM, SOM estimates with assumptions and sources."
Provide VC feedback,We only need funding for marketing,"Use of funds should include growth, product, hiring, and milestones."
Check market attractiveness,We rely on one enterprise customer,Customer concentration risk is high. Revenue diversification needed.
Review startup pitch,We target all businesses globally,ICP is too broad. Investors prefer focused customer segments with clear pain points.
Assess startup valuation,We have no clear revenue model,Lack of monetization clarity increases investor hesitation and execution risk.
Review startup pitch,We have MVP but no paying customers,"May suit angel funding, but many VCs will seek stronger validation first."
Assess startup valuation,We burn $200k monthly with no growth,High burn without traction is a major investor red flag.
Analyze fundraising strategy,We target all businesses globally,ICP is too broad. Investors prefer focused customer segments with clear pain points.
Provide VC feedback,We have MVP but no paying customers,"May suit angel funding, but many VCs will seek stronger validation first."
Evaluate business model,We are another food delivery app,"Crowded category. Need clear differentiation, defensibility, or niche advantage."
Critique startup fundraising plan,We have MVP but no paying customers,"May suit angel funding, but many VCs will seek stronger validation first."
Analyze fundraising strategy,Large market opportunity,"Too vague. Add TAM, SAM, SOM estimates with assumptions and sources."
Assess startup moat,We have MVP but no paying customers,"May suit angel funding, but many VCs will seek stronger validation first."
Critique startup fundraising plan,We burn $200k monthly with no growth,High burn without traction is a major investor red flag.
Assess startup moat,Our founders have no domain experience,"Need stronger founder-market fit, advisors, or evidence of execution capability."
Evaluate business model,We have MVP but no paying customers,"May suit angel funding, but many VCs will seek stronger validation first."
Provide VC feedback,We are raising at $20M valuation pre-revenue,"Valuation appears aggressive without revenue, traction, or clear growth signals."
Analyze fundraising strategy,No competitors exist,"Usually unrealistic. Show direct, indirect, or substitute competitors honestly."
Analyze fundraising strategy,Our founders have no domain experience,"Need stronger founder-market fit, advisors, or evidence of execution capability."
Check market attractiveness,We are another food delivery app,"Crowded category. Need clear differentiation, defensibility, or niche advantage."
Assess startup moat,We have no CAC or LTV numbers,Missing unit economics weakens confidence in scalable growth.
Assess startup valuation,We rely on one enterprise customer,Customer concentration risk is high. Revenue diversification needed.
Assess startup valuation,We will grow through social media only,Go-to-market strategy is shallow. Need repeatable acquisition channels.
Analyze fundraising strategy,No competitors exist,"Usually unrealistic. Show direct, indirect, or substitute competitors honestly."
Critique startup fundraising plan,We will grow through social media only,Go-to-market strategy is shallow. Need repeatable acquisition channels.
Provide VC feedback,We have MVP but no paying customers,"May suit angel funding, but many VCs will seek stronger validation first."
Analyze fundraising strategy,We have 100 users after 2 years,"Growth appears slow. Explain retention, niche strategy, or learning progress."
Review startup pitch,We burn $200k monthly with no growth,High burn without traction is a major investor red flag.
Evaluate business model,Our founders have no domain experience,"Need stronger founder-market fit, advisors, or evidence of execution capability."
Review startup pitch,We rely on one enterprise customer,Customer concentration risk is high. Revenue diversification needed.
Check market attractiveness,Need $5M seed round with no traction,Capital ask seems high relative to stage. Justify with milestones and roadmap.
Analyze fundraising strategy,We are raising at $20M valuation pre-revenue,"Valuation appears aggressive without revenue, traction, or clear growth signals."
Assess startup moat,Need $5M seed round with no traction,Capital ask seems high relative to stage. Justify with milestones and roadmap.
Critique startup fundraising plan,We have 100 users after 2 years,"Growth appears slow. Explain retention, niche strategy, or learning progress."
Analyze fundraising strategy,We target all businesses globally,ICP is too broad. Investors prefer focused customer segments with clear pain points.
Evaluate business model,We have no clear revenue model,Lack of monetization clarity increases investor hesitation and execution risk.
Critique startup fundraising plan,We have no clear revenue model,Lack of monetization clarity increases investor hesitation and execution risk.
Analyze fundraising strategy,No competitors exist,"Usually unrealistic. Show direct, indirect, or substitute competitors honestly."
Assess startup valuation,We only need funding for marketing,"Use of funds should include growth, product, hiring, and milestones."
Provide VC feedback,We will grow through social media only,Go-to-market strategy is shallow. Need repeatable acquisition channels.
Analyze fundraising strategy,We only need funding for marketing,"Use of funds should include growth, product, hiring, and milestones."
Analyze fundraising strategy,No competitors exist,"Usually unrealistic. Show direct, indirect, or substitute competitors honestly."
Evaluate investor readiness,No competitors exist,"Usually unrealistic. Show direct, indirect, or substitute competitors honestly."
Critique startup fundraising plan,We will grow through social media only,Go-to-market strategy is shallow. Need repeatable acquisition channels.
Check market attractiveness,We burn $200k monthly with no growth,High burn without traction is a major investor red flag.
Provide VC feedback,We are raising at $20M valuation pre-revenue,"Valuation appears aggressive without revenue, traction, or clear growth signals."
Evaluate investor readiness,Large market opportunity,"Too vague. Add TAM, SAM, SOM estimates with assumptions and sources."
Critique startup fundraising plan,We have no CAC or LTV numbers,Missing unit economics weakens confidence in scalable growth.
Critique startup fundraising plan,We have no CAC or LTV numbers,Missing unit economics weakens confidence in scalable growth.
Assess startup valuation,Large market opportunity,"Too vague. Add TAM, SAM, SOM estimates with assumptions and sources."
Critique startup fundraising plan,Our founders have no domain experience,"Need stronger founder-market fit, advisors, or evidence of execution capability."
Review startup pitch,Need $5M seed round with no traction,Capital ask seems high relative to stage. Justify with milestones and roadmap.
Review startup pitch,Large market opportunity,"Too vague. Add TAM, SAM, SOM estimates with assumptions and sources."
Evaluate investor readiness,We will grow through social media only,Go-to-market strategy is shallow. Need repeatable acquisition channels.
Assess startup valuation,Need $5M seed round with no traction,Capital ask seems high relative to stage. Justify with milestones and roadmap.
Explain investor concern,We will grow through social media only,Go-to-market strategy is shallow. Need repeatable acquisition channels.
Provide VC feedback,We have no CAC or LTV numbers,Missing unit economics weakens confidence in scalable growth.
Assess startup moat,We have no clear revenue model,Lack of monetization clarity increases investor hesitation and execution risk.
Evaluate investor readiness,Need $5M seed round with no traction,Capital ask seems high relative to stage. Justify with milestones and roadmap.
Review startup pitch,We have no CAC or LTV numbers,Missing unit economics weakens confidence in scalable growth.
Evaluate investor readiness,No competitors exist,"Usually unrealistic. Show direct, indirect, or substitute competitors honestly."
Critique startup fundraising plan,Need $5M seed round with no traction,Capital ask seems high relative to stage. Justify with milestones and roadmap.
Explain investor concern,We rely on one enterprise customer,Customer concentration risk is high. Revenue diversification needed.
Analyze fundraising strategy,Need $5M seed round with no traction,Capital ask seems high relative to stage. Justify with milestones and roadmap.
Assess startup valuation,We have MVP but no paying customers,"May suit angel funding, but many VCs will seek stronger validation first."
Assess startup moat,We target all businesses globally,ICP is too broad. Investors prefer focused customer segments with clear pain points.
Assess startup valuation,We burn $200k monthly with no growth,High burn without traction is a major investor red flag.
Explain investor concern,We target all businesses globally,ICP is too broad. Investors prefer focused customer segments with clear pain points.
Assess startup moat,Our founders have no domain experience,"Need stronger founder-market fit, advisors, or evidence of execution capability."
Evaluate investor readiness,We have no CAC or LTV numbers,Missing unit economics weakens confidence in scalable growth.
Assess startup moat,We have no CAC or LTV numbers,Missing unit economics weakens confidence in scalable growth.
Critique startup fundraising plan,We have no CAC or LTV numbers,Missing unit economics weakens confidence in scalable growth.
Check market attractiveness,We only need funding for marketing,"Use of funds should include growth, product, hiring, and milestones."
Provide VC feedback,We have MVP but no paying customers,"May suit angel funding, but many VCs will seek stronger validation first."
Check market attractiveness,We target all businesses globally,ICP is too broad. Investors prefer focused customer segments with clear pain points.
Provide VC feedback,We have 100 users after 2 years,"Growth appears slow. Explain retention, niche strategy, or learning progress."
Analyze fundraising strategy,We are raising at $20M valuation pre-revenue,"Valuation appears aggressive without revenue, traction, or clear growth signals."
Evaluate business model,Our founders have no domain experience,"Need stronger founder-market fit, advisors, or evidence of execution capability."
Analyze fundraising strategy,We target all businesses globally,ICP is too broad. Investors prefer focused customer segments with clear pain points.
Evaluate business model,We only need funding for marketing,"Use of funds should include growth, product, hiring, and milestones."
Review startup pitch,We burn $200k monthly with no growth,High burn without traction is a major investor red flag.
Review startup pitch,We have MVP but no paying customers,"May suit angel funding, but many VCs will seek stronger validation first."
Check market attractiveness,We burn $200k monthly with no growth,High burn without traction is a major investor red flag.
Explain investor concern,We have 100 users after 2 years,"Growth appears slow. Explain retention, niche strategy, or learning progress."
Check market attractiveness,Need $5M seed round with no traction,Capital ask seems high relative to stage. Justify with milestones and roadmap.
Evaluate business model,We have no CAC or LTV numbers,Missing unit economics weakens confidence in scalable growth.
Analyze fundraising strategy,We will grow through social media only,Go-to-market strategy is shallow. Need repeatable acquisition channels.
Assess startup moat,Our founders have no domain experience,"Need stronger founder-market fit, advisors, or evidence of execution capability."
Provide VC feedback,No competitors exist,"Usually unrealistic. Show direct, indirect, or substitute competitors honestly."
Assess startup valuation,Our founders have no domain experience,"Need stronger founder-market fit, advisors, or evidence of execution capability."
Evaluate investor readiness,Our founders have no domain experience,"Need stronger founder-market fit, advisors, or evidence of execution capability."
Evaluate business model,No competitors exist,"Usually unrealistic. Show direct, indirect, or substitute competitors honestly."
Evaluate business model,Large market opportunity,"Too vague. Add TAM, SAM, SOM estimates with assumptions and sources."
Assess startup moat,Need $5M seed round with no traction,Capital ask seems high relative to stage. Justify with milestones and roadmap.
Analyze fundraising strategy,We have 100 users after 2 years,"Growth appears slow. Explain retention, niche strategy, or learning progress."
Critique startup fundraising plan,We only need funding for marketing,"Use of funds should include growth, product, hiring, and milestones."
Provide VC feedback,We will grow through social media only,Go-to-market strategy is shallow. Need repeatable acquisition channels.
Evaluate business model,We have no clear revenue model,Lack of monetization clarity increases investor hesitation and execution risk.
Provide VC feedback,Large market opportunity,"Too vague. Add TAM, SAM, SOM estimates with assumptions and sources."
Explain investor concern,We have no CAC or LTV numbers,Missing unit economics weakens confidence in scalable growth.
Explain investor concern,We only need funding for marketing,"Use of funds should include growth, product, hiring, and milestones."
Assess startup moat,We rely on one enterprise customer,Customer concentration risk is high. Revenue diversification needed.
Explain investor concern,We burn $200k monthly with no growth,High burn without traction is a major investor red flag.
Critique startup fundraising plan,We are another food delivery app,"Crowded category. Need clear differentiation, defensibility, or niche advantage."
Assess startup valuation,We are another food delivery app,"Crowded category. Need clear differentiation, defensibility, or niche advantage."
Assess startup valuation,We target all businesses globally,ICP is too broad. Investors prefer focused customer segments with clear pain points.
Analyze fundraising strategy,We burn $200k monthly with no growth,High burn without traction is a major investor red flag.
Check market attractiveness,We will grow through social media only,Go-to-market strategy is shallow. Need repeatable acquisition channels.
Assess startup valuation,We have no CAC or LTV numbers,Missing unit economics weakens confidence in scalable growth.
Evaluate business model,We burn $200k monthly with no growth,High burn without traction is a major investor red flag.
Evaluate business model,We have 100 users after 2 years,"Growth appears slow. Explain retention, niche strategy, or learning progress."
Critique startup fundraising plan,We will grow through social media only,Go-to-market strategy is shallow. Need repeatable acquisition channels.
Explain investor concern,We target all businesses globally,ICP is too broad. Investors prefer focused customer segments with clear pain points.
Analyze fundraising strategy,Large market opportunity,"Too vague. Add TAM, SAM, SOM estimates with assumptions and sources."
Assess startup valuation,We burn $200k monthly with no growth,High burn without traction is a major investor red flag.
Assess startup moat,No competitors exist,"Usually unrealistic. Show direct, indirect, or substitute competitors honestly."
Evaluate business model,We only need funding for marketing,"Use of funds should include growth, product, hiring, and milestones."
Check market attractiveness,We are another food delivery app,"Crowded category. Need clear differentiation, defensibility, or niche advantage."
Analyze fundraising strategy,We only need funding for marketing,"Use of funds should include growth, product, hiring, and milestones."
Check market attractiveness,We burn $200k monthly with no growth,High burn without traction is a major investor red flag.
Provide VC feedback,We only need funding for marketing,"Use of funds should include growth, product, hiring, and milestones."
Evaluate business model,We burn $200k monthly with no growth,High burn without traction is a major investor red flag.
Explain investor concern,No competitors exist,"Usually unrealistic. Show direct, indirect, or substitute competitors honestly."
Assess startup valuation,No competitors exist,"Usually unrealistic. Show direct, indirect, or substitute competitors honestly."
Assess startup valuation,We target all businesses globally,ICP is too broad. Investors prefer focused customer segments with clear pain points.
Evaluate investor readiness,We only need funding for marketing,"Use of funds should include growth, product, hiring, and milestones."
Check market attractiveness,We burn $200k monthly with no growth,High burn without traction is a major investor red flag.
Review startup pitch,We have no CAC or LTV numbers,Missing unit economics weakens confidence in scalable growth.
Assess startup valuation,Large market opportunity,"Too vague. Add TAM, SAM, SOM estimates with assumptions and sources."
Evaluate business model,We burn $200k monthly with no growth,High burn without traction is a major investor red flag.
Assess startup moat,No competitors exist,"Usually unrealistic. Show direct, indirect, or substitute competitors honestly."
Check market attractiveness,We have no CAC or LTV numbers,Missing unit economics weakens confidence in scalable growth.
Explain investor concern,Need $5M seed round with no traction,Capital ask seems high relative to stage. Justify with milestones and roadmap.
Assess startup valuation,We target all businesses globally,ICP is too broad. Investors prefer focused customer segments with clear pain points.
Assess startup valuation,No competitors exist,"Usually unrealistic. Show direct, indirect, or substitute competitors honestly."
Review startup pitch,We only need funding for marketing,"Use of funds should include growth, product, hiring, and milestones."
Critique startup fundraising plan,No competitors exist,"Usually unrealistic. Show direct, indirect, or substitute competitors honestly."
Check market attractiveness,We burn $200k monthly with no growth,High burn without traction is a major investor red flag.
Explain investor concern,We have no clear revenue model,Lack of monetization clarity increases investor hesitation and execution risk.
Critique startup fundraising plan,We are raising at $20M valuation pre-revenue,"Valuation appears aggressive without revenue, traction, or clear growth signals."
Explain investor concern,We are another food delivery app,"Crowded category. Need clear differentiation, defensibility, or niche advantage."
Review startup pitch,We burn $200k monthly with no growth,High burn without traction is a major investor red flag.
Evaluate business model,We have 100 users after 2 years,"Growth appears slow. Explain retention, niche strategy, or learning progress."
Critique startup fundraising plan,We target all businesses globally,ICP is too broad. Investors prefer focused customer segments with clear pain points.
Explain investor concern,Need $5M seed round with no traction,Capital ask seems high relative to stage. Justify with milestones and roadmap.
Evaluate business model,We will grow through social media only,Go-to-market strategy is shallow. Need repeatable acquisition channels.
Provide VC feedback,We will grow through social media only,Go-to-market strategy is shallow. Need repeatable acquisition channels.
Critique startup fundraising plan,We have no clear revenue model,Lack of monetization clarity increases investor hesitation and execution risk.
Evaluate business model,No competitors exist,"Usually unrealistic. Show direct, indirect, or substitute competitors honestly."
Evaluate investor readiness,We target all businesses globally,ICP is too broad. Investors prefer focused customer segments with clear pain points.
Evaluate business model,We have MVP but no paying customers,"May suit angel funding, but many VCs will seek stronger validation first."
Assess startup moat,We target all businesses globally,ICP is too broad. Investors prefer focused customer segments with clear pain points.
Critique startup fundraising plan,We have 100 users after 2 years,"Growth appears slow. Explain retention, niche strategy, or learning progress."
Review startup pitch,We have no clear revenue model,Lack of monetization clarity increases investor hesitation and execution risk.
Assess startup moat,We have no CAC or LTV numbers,Missing unit economics weakens confidence in scalable growth.
Evaluate investor readiness,No competitors exist,"Usually unrealistic. Show direct, indirect, or substitute competitors honestly."
Evaluate investor readiness,Large market opportunity,"Too vague. Add TAM, SAM, SOM estimates with assumptions and sources."
Analyze fundraising strategy,We are another food delivery app,"Crowded category. Need clear differentiation, defensibility, or niche advantage."
Assess startup moat,Need $5M seed round with no traction,Capital ask seems high relative to stage. Justify with milestones and roadmap.
Assess startup moat,We have no CAC or LTV numbers,Missing unit economics weakens confidence in scalable growth.
Check market attractiveness,Large market opportunity,"Too vague. Add TAM, SAM, SOM estimates with assumptions and sources."
Evaluate business model,We have MVP but no paying customers,"May suit angel funding, but many VCs will seek stronger validation first."
Evaluate business model,We rely on one enterprise customer,Customer concentration risk is high. Revenue diversification needed.
Assess startup moat,No competitors exist,"Usually unrealistic. Show direct, indirect, or substitute competitors honestly."
Explain investor concern,We have MVP but no paying customers,"May suit angel funding, but many VCs will seek stronger validation first."
Assess startup moat,Need $5M seed round with no traction,Capital ask seems high relative to stage. Justify with milestones and roadmap.
Assess startup moat,We are raising at $20M valuation pre-revenue,"Valuation appears aggressive without revenue, traction, or clear growth signals."
Evaluate investor readiness,We burn $200k monthly with no growth,High burn without traction is a major investor red flag.
Assess startup valuation,We have no CAC or LTV numbers,Missing unit economics weakens confidence in scalable growth.
Assess startup valuation,We have 100 users after 2 years,"Growth appears slow. Explain retention, niche strategy, or learning progress."
Evaluate investor readiness,No competitors exist,"Usually unrealistic. Show direct, indirect, or substitute competitors honestly."
Assess startup valuation,We have no clear revenue model,Lack of monetization clarity increases investor hesitation and execution risk.
Check market attractiveness,We have no clear revenue model,Lack of monetization clarity increases investor hesitation and execution risk.
Review startup pitch,We target all businesses globally,ICP is too broad. Investors prefer focused customer segments with clear pain points.
Analyze fundraising strategy,We are raising at $20M valuation pre-revenue,"Valuation appears aggressive without revenue, traction, or clear growth signals."
Assess startup moat,We will grow through social media only,Go-to-market strategy is shallow. Need repeatable acquisition channels.
Explain investor concern,We will grow through social media only,Go-to-market strategy is shallow. Need repeatable acquisition channels.
Assess startup valuation,We are raising at $20M valuation pre-revenue,"Valuation appears aggressive without revenue, traction, or clear growth signals."
Explain investor concern,No competitors exist,"Usually unrealistic. Show direct, indirect, or substitute competitors honestly."
Evaluate business model,We burn $200k monthly with no growth,High burn without traction is a major investor red flag.
Assess startup valuation,We target all businesses globally,ICP is too broad. Investors prefer focused customer segments with clear pain points.
Explain investor concern,We rely on one enterprise customer,Customer concentration risk is high. Revenue diversification needed.
Assess startup moat,We have no CAC or LTV numbers,Missing unit economics weakens confidence in scalable growth.
Assess startup valuation,We have 100 users after 2 years,"Growth appears slow. Explain retention, niche strategy, or learning progress."
Evaluate investor readiness,We have MVP but no paying customers,"May suit angel funding, but many VCs will seek stronger validation first."
Assess startup valuation,We are another food delivery app,"Crowded category. Need clear differentiation, defensibility, or niche advantage."
Review startup pitch,We have 100 users after 2 years,"Growth appears slow. Explain retention, niche strategy, or learning progress."
Explain investor concern,We rely on one enterprise customer,Customer concentration risk is high. Revenue diversification needed.
Review startup pitch,Our founders have no domain experience,"Need stronger founder-market fit, advisors, or evidence of execution capability."
Critique startup fundraising plan,We target all businesses globally,ICP is too broad. Investors prefer focused customer segments with clear pain points.
Explain investor concern,We have no clear revenue model,Lack of monetization clarity increases investor hesitation and execution risk.
Assess startup moat,Need $5M seed round with no traction,Capital ask seems high relative to stage. Justify with milestones and roadmap.
Explain investor concern,We rely on one enterprise customer,Customer concentration risk is high. Revenue diversification needed.
Evaluate investor readiness,We will grow through social media only,Go-to-market strategy is shallow. Need repeatable acquisition channels.
Explain investor concern,We will grow through social media only,Go-to-market strategy is shallow. Need repeatable acquisition channels.
Analyze fundraising strategy,We burn $200k monthly with no growth,High burn without traction is a major investor red flag.
Check market attractiveness,No competitors exist,"Usually unrealistic. Show direct, indirect, or substitute competitors honestly."
Evaluate business model,We are another food delivery app,"Crowded category. Need clear differentiation, defensibility, or niche advantage."
Evaluate investor readiness,We will grow through social media only,Go-to-market strategy is shallow. Need repeatable acquisition channels.
Critique startup fundraising plan,Need $5M seed round with no traction,Capital ask seems high relative to stage. Justify with milestones and roadmap.
Analyze fundraising strategy,We rely on one enterprise customer,Customer concentration risk is high. Revenue diversification needed.
Provide VC feedback,We burn $200k monthly with no growth,High burn without traction is a major investor red flag.
Explain investor concern,Need $5M seed round with no traction,Capital ask seems high relative to stage. Justify with milestones and roadmap.
Evaluate investor readiness,We are raising at $20M valuation pre-revenue,"Valuation appears aggressive without revenue, traction, or clear growth signals."
Assess startup moat,Large market opportunity,"Too vague. Add TAM, SAM, SOM estimates with assumptions and sources."
Critique startup fundraising plan,Need $5M seed round with no traction,Capital ask seems high relative to stage. Justify with milestones and roadmap.
Explain investor concern,We have no CAC or LTV numbers,Missing unit economics weakens confidence in scalable growth.
Critique startup fundraising plan,Need $5M seed round with no traction,Capital ask seems high relative to stage. Justify with milestones and roadmap.
Review startup pitch,We have no CAC or LTV numbers,Missing unit economics weakens confidence in scalable growth.
Check market attractiveness,We will grow through social media only,Go-to-market strategy is shallow. Need repeatable acquisition channels.
Evaluate business model,We have 100 users after 2 years,"Growth appears slow. Explain retention, niche strategy, or learning progress."
Explain investor concern,We rely on one enterprise customer,Customer concentration risk is high. Revenue diversification needed.
Assess startup moat,We have no clear revenue model,Lack of monetization clarity increases investor hesitation and execution risk.
Evaluate business model,We have MVP but no paying customers,"May suit angel funding, but many VCs will seek stronger validation first."
Evaluate business model,We target all businesses globally,ICP is too broad. Investors prefer focused customer segments with clear pain points.
Analyze fundraising strategy,We only need funding for marketing,"Use of funds should include growth, product, hiring, and milestones."
Provide VC feedback,We only need funding for marketing,"Use of funds should include growth, product, hiring, and milestones."
Evaluate investor readiness,We have 100 users after 2 years,"Growth appears slow. Explain retention, niche strategy, or learning progress."
Review startup pitch,Our founders have no domain experience,"Need stronger founder-market fit, advisors, or evidence of execution capability."
Analyze fundraising strategy,We only need funding for marketing,"Use of funds should include growth, product, hiring, and milestones."
Evaluate business model,We burn $200k monthly with no growth,High burn without traction is a major investor red flag.
Analyze fundraising strategy,No competitors exist,"Usually unrealistic. Show direct, indirect, or substitute competitors honestly."
Check market attractiveness,Our founders have no domain experience,"Need stronger founder-market fit, advisors, or evidence of execution capability."
Evaluate business model,We are raising at $20M valuation pre-revenue,"Valuation appears aggressive without revenue, traction, or clear growth signals."
Provide VC feedback,We target all businesses globally,ICP is too broad. Investors prefer focused customer segments with clear pain points.
Provide VC feedback,No competitors exist,"Usually unrealistic. Show direct, indirect, or substitute competitors honestly."
Analyze fundraising strategy,We target all businesses globally,ICP is too broad. Investors prefer focused customer segments with clear pain points.
Check market attractiveness,Our founders have no domain experience,"Need stronger founder-market fit, advisors, or evidence of execution capability."
Critique startup fundraising plan,Our founders have no domain experience,"Need stronger founder-market fit, advisors, or evidence of execution capability."
Check market attractiveness,We have 100 users after 2 years,"Growth appears slow. Explain retention, niche strategy, or learning progress."
Analyze fundraising strategy,We will grow through social media only,Go-to-market strategy is shallow. Need repeatable acquisition channels.
Assess startup valuation,We are raising at $20M valuation pre-revenue,"Valuation appears aggressive without revenue, traction, or clear growth signals."
Provide VC feedback,We are another food delivery app,"Crowded category. Need clear differentiation, defensibility, or niche advantage."
Evaluate business model,Need $5M seed round with no traction,Capital ask seems high relative to stage. Justify with milestones and roadmap.
Evaluate business model,We have 100 users after 2 years,"Growth appears slow. Explain retention, niche strategy, or learning progress."
Critique startup fundraising plan,We have no CAC or LTV numbers,Missing unit economics weakens confidence in scalable growth.
Explain investor concern,Large market opportunity,"Too vague. Add TAM, SAM, SOM estimates with assumptions and sources."
Review startup pitch,We are another food delivery app,"Crowded category. Need clear differentiation, defensibility, or niche advantage."
Explain investor concern,We rely on one enterprise customer,Customer concentration risk is high. Revenue diversification needed.
Evaluate business model,We will grow through social media only,Go-to-market strategy is shallow. Need repeatable acquisition channels.
Critique startup fundraising plan,We target all businesses globally,ICP is too broad. Investors prefer focused customer segments with clear pain points.
Assess startup moat,We have 100 users after 2 years,"Growth appears slow. Explain retention, niche strategy, or learning progress."
Assess startup valuation,We have no CAC or LTV numbers,Missing unit economics weakens confidence in scalable growth.
Review startup pitch,We burn $200k monthly with no growth,High burn without traction is a major investor red flag.
Check market attractiveness,No competitors exist,"Usually unrealistic. Show direct, indirect, or substitute competitors honestly."
Check market attractiveness,We are raising at $20M valuation pre-revenue,"Valuation appears aggressive without revenue, traction, or clear growth signals."
Evaluate investor readiness,We have MVP but no paying customers,"May suit angel funding, but many VCs will seek stronger validation first."
Evaluate investor readiness,Large market opportunity,"Too vague. Add TAM, SAM, SOM estimates with assumptions and sources."
Evaluate investor readiness,We will grow through social media only,Go-to-market strategy is shallow. Need repeatable acquisition channels.
Review startup pitch,We have 100 users after 2 years,"Growth appears slow. Explain retention, niche strategy, or learning progress."
Explain investor concern,We will grow through social media only,Go-to-market strategy is shallow. Need repeatable acquisition channels.
Explain investor concern,We are another food delivery app,"Crowded category. Need clear differentiation, defensibility, or niche advantage."
Evaluate business model,We have MVP but no paying customers,"May suit angel funding, but many VCs will seek stronger validation first."
Assess startup valuation,We will grow through social media only,Go-to-market strategy is shallow. Need repeatable acquisition channels.
Check market attractiveness,We will grow through social media only,Go-to-market strategy is shallow. Need repeatable acquisition channels.
Analyze fundraising strategy,We have no clear revenue model,Lack of monetization clarity increases investor hesitation and execution risk.
Assess startup moat,Large market opportunity,"Too vague. Add TAM, SAM, SOM estimates with assumptions and sources."
Review startup pitch,We are another food delivery app,"Crowded category. Need clear differentiation, defensibility, or niche advantage."
Evaluate investor readiness,Our founders have no domain experience,"Need stronger founder-market fit, advisors, or evidence of execution capability."
